first_name,last_name,birth_date,phone,street_address,city,postcode,country,country_code,customer_id
Natascha,Müller,25-05-1978,03486 037871,Stanislaus-Kobelt-Straße 134,Wolfach,90058,Germany,DE,6654686
Mato,Spieß,16-04-2020,00917608613,Ortwin-Scholl-Straße 0,Pritzwalk,61450,Germany,DE,5518150
Wolf-Dietrich,Drubin,03-03-1975,+49 (0) 8908 905920,Marco-Kreusel-Ring 14,Stade,71824,Germany,DE,7263541
Desiree,Bohlander,05-01-1966,+49(0)6057 614798,Torben-Pärtzelt-Straße 0/3,Querfurt,13755,Germany,DE,7867169
Iwona,Bohlander,04-03-1916,05857475990,Silke-Budig-Allee 5,Nabburg,60776,Germany,DE,7587151
Otfried,Schottin,06-04-1993,(00240) 116656,Grazyna-Dörr-Allee 1,Gardelegen,41825,Germany,DE,6428653
Mohammed,Bien,05-12-1933,+49(0)2386 769874,Holzapfelgasse 07,Neu-Ulm,11764,Germany,DE,4714406
Ilka,Scheuermann,12-11-1926,+49(0)9964574875,Franz-Peter-Eckbauer-Gasse 63,Apolda,70370,Germany,DE,1777664
Helmtrud,Wulf,25-12-1943,+49(0)3159692766,Johannstraße 04,Einbeck,27956,Germany,DE,4637831
Anja,Bolnbach,03-06-1999,+49 (0) 8130 905711,Fanny-Schäfer-Allee 71,Arnstadt,07111,Germany,DE,1736021
Arnim,Ackermann,12-01-1937,(07252) 604254,Christina-Henschel-Straße 84,Lübben,84810,Germany,DE,1907938
Philip,Hering,07-06-1929,+49(0)5987 27507,Klaus-Peter-Carsten-Weg 3,Celle,85204,Germany,DE,1973500
Charles,Speer,19-05-1993,0844798023,Kuschring 802,Worbis,38646,Germany,DE,6971875
Caroline,Rädel,03-07-1910,+49(0)0643373349,Olav-Reichmann-Ring 1,Eilenburg,87806,Germany,DE,4031109
Zoltan,Hörle,10-08-1955,+49(0)8686018592,Scholzring 099,Hersbruck,81141,Germany,DE,1801274
Lotte,Biggen,09-07-1958,+49(0)8797 89393,Losekannstraße 123,Parchim,29300,Germany,DE,3529090
Hans-Karl,Rose,05-04-1987,07086332023,Rosalinde-Reising-Ring 765,Iserlohn,27926,Germany,DE,7443966
Constanze,Bähr,22-12-1949,(05067) 91627,Hartmut-Niemeier-Allee 0/0,Zschopau,84845,Germany,DE,3557909
Stilla,Kaul,16-05-1930,+49(0) 467877543,Kensystraße 00,Schwäbisch Gmünd,72151,Germany,DE,8350050
Edelgard,Atzler,28-02-1959,02745 16271,Edwin-Wulf-Straße 7/8,Nürtingen,74418,Germany,DE,7424400
Carl,Käster,17-02-1939,(09500) 62353,Herwig-Eigenwillig-Weg 5,Strasburg,20152,Germany,DE,8150785
Nadeshda,Schönland,20-11-2003,09734 259740,Kreinstr. 784,Siegen,75837,Germany,DE,2404207
Wolf-Rüdiger,Schottin,31-10-1944,0600654334,Horst-Günter-Wiek-Platz 78,Kronach,41540,Germany,DE,9031795
Marcella,Koch,20-03-1941,+49(0) 066715160,Fritschallee 5,Meppen,16315,Germany,DE,1488610
Vitus,Höfig,26-05-2005,01586 49446,Fritschallee 95,Lüdenscheid,32562,Germany,DE,3955337
Tillmann,Peukert,09-10-1909,01459 621569,Etzoldstr. 437,Hagenow,55785,Germany,DE,7476907
Wolfgang,Ullrich,27-04-2011,+49(0)8271169301,Nils-Stumpf-Gasse 8,Meißen,16612,Germany,DE,9739772
Nicolai,Zänker,07-03-1959,09992 87586,Gebhard-Rogge-Gasse 89,Altötting,41330,Germany,DE,2775350
Luise,Bruder,13-05-1949,(01232) 562738,Reinhardtstraße 24,Heinsberg,04386,Germany,DE,5115777
Heidelinde,Bloch,17-01-2003,(02110) 11305,Weinholdallee 32,Northeim,66288,Germany,DE,4121932
Kenneth,Eimer,05-08-1990,+49 (0) 3087 493868,Rognerring 8/7,Hersbruck,30070,Germany,DE,8227387
Wolfhard,Putz,02-06-1918,03877 760925,Liselotte-Jungfer-Weg 45,Badibling,64294,Germany,DE,5515326
Yasmin,Jungfer,26-09-1974,+49(0)9051 38218,Athanasios-Grein Groth-Straße 653,Brilon,06948,Germany,DE,2667601
Gretl,Striebitz,21-12-1922,(01512) 79744,Keudelring 436,Osterburg,69980,Germany,DE,1382645
Mehdi,Reuter,22-05-1939,+49(0)5347 85929,Rose-auch Schlauchin-Allee 2/4,Tecklenburg,15662,Germany,DE,9460987
Virginia,Junken,10-12-1937,(04800) 350382,Adem-Hesse-Platz 900,Güstrow,58654,Germany,DE,4041418
Tilly,Schinke,21-01-1952,+49(0)6737 335469,Serge-Stoll-Weg 56,Hettstedt,91847,Germany,DE,8198153
Adelgunde,Kambs,06-10-2010,(03686) 53637,Rohledergasse 8,Goslar,82221,Germany,DE,5209022
Wolfhard,Klingelhöfer,27-03-2016,+49 (0) 2694 988759,Preißallee 3,Eisenberg,64681,Germany,DE,7242063
Carmela,Weimer,21-04-1970,00889 757664,Hessestr. 9,Gifhorn,07747,Germany,DE,4940772
Clara,Stahr,21-01-1966,+49(0) 405975269,Juri-Wulf-Allee 87,Forchheim,54783,Germany,DE,3217086
Wolfram,Margraf,24-12-1962,0772213388,Heiderose-Hellwig-Allee 677,Lübeck,19544,Germany,DE,2530999
Hans,Rogner,20-07-1971,08561 792146,Dana-Putz-Ring 6,Steinfurt,59364,Germany,DE,7619541
Ingolf,Bähr,14-05-1911,+49(0)2895 30128,Maren-Becker-Allee 200,Stadtroda,91665,Germany,DE,8259337
Hanno,Hoffmann,23-12-1940,(00595) 414272,Branko-Schuchhardt-Gasse 966,Uffenheim,84601,Germany,DE,3136332
Gülay,Aumann,03-11-1939,+49(0)4903 562908,Klaus-Jürgen-Neureuther-Allee 04,Uelzen,74556,Germany,DE,2584793
Justina,Heinrich,16-10-1961,+49(0)3000 048967,Emilie-Gorlitz-Platz 1/0,Luckenwalde,37605,Germany,DE,6541524
Herlinde,Hering,04-11-1937,03961 10316,Wellerring 0,Hannoversch Münden,66971,Germany,DE,9137292
Osman,Aumann,31-08-1976,0819017262,Mareile-Losekann-Platz 0,Leipziger Land,48559,Germany,DE,9431983
Robert,Meister,16-08-2017,09281 649760,Meinhard-Knappe-Platz 258,Kehl,14911,Germany,DE,2709186
Salvatore,Oderwald,29-05-1910,+49(0) 301798660,Ortmannstr. 0,Günzburg,31423,Germany,DE,2416287
Sylvie,Peukert,08-10-1975,(05442) 117328,Marie-Theres-Wieloch-Gasse 258,Burglengenfeld,73233,Germany,DE,6379841
Marlen,Trapp,12-08-1916,+49(0) 417077212,Putzgasse 0,Demmin,81426,Germany,DE,9782509
Jana,Gude,29-03-2011,(01586) 342014,Putzplatz 5/0,Wismar,28969,Germany,DE,5909862
Andy,Fröhlich,02-11-1925,+49(0)6236 131585,Cristina-Lehmann-Weg 123,Burglengenfeld,99488,Germany,DE,7118174
Janin,Beyer,26-11-1913,03504867493,Diether-Rädel-Platz 85,Kassel,20244,Germany,DE,5449951
Mirella,Pergande,06-05-1967,+49(0)5170 88187,Geraldine-Biggen-Platz 00,Forchheim,06372,Germany,DE,4137868
Enver,Stadelmann,04-02-1926,0900660327,Heidrichstr. 4,Osterode am Harz,13360,Germany,DE,8746975
Leonardo,Martin,16-10-1960,+49(0) 270874438,Scholtzstraße 19,Parchim,56531,Germany,DE,5787131
Janine,Geisel,20-04-1961,03377297098,Angelika-Oestrovsky-Allee 0,Wernigerode,83531,Germany,DE,4754783
Giorgio,Schweitzer,27-01-1947,(04979) 66416,Barbara-Huhn-Straße 8,Naila,47145,Germany,DE,1975881
Gülsen,Thanel,04-01-1979,+49(0)9310 93488,Heßring 771,Forst,78093,Germany,DE,7214233
Hansjürgen,Fliegner,17-10-1987,00155 830568,Brian-Meister-Gasse 44,Auerbach,58894,Germany,DE,8250569
Frauke,Zorbach,12-09-1994,0549764788,Aribert-Junck-Straße 82,Chemnitz,04877,Germany,DE,8776549
Thekla,Nerger,17-09-1985,02912 216492,Hildegunde-Mende-Platz 541,Hainichen,13745,Germany,DE,2852638
Loretta,Birnbaum,24-06-1937,08787025033,Natali-Vogt-Weg 73,Grafenau,42445,Germany,DE,5940627
Heike,Schwital,25-01-1924,03786 16170,Gumprichplatz 38,Crailsheim,24254,Germany,DE,5304221
Bertold,Berger,13-09-1914,+49(0)0118692534,Udo-Kohl-Platz 4/3,Eichstätt,22747,Germany,DE,8901334
Sophie,Ruppert,06-04-2001,(09583) 50269,Berthold-Jüttner-Gasse 6,Sankt Goar,49904,Germany,DE,1946079
Vito,Rogner,30-06-1923,+49(0)3573 075013,Zirmering 9/9,Melsungen,86461,Germany,DE,3865225
Remo,Hornig,30-07-1968,+49(0)9757518569,Scheibestr. 8/8,Ribnitz-Damgarten,85424,Germany,DE,1485065
Guiseppe,Gutknecht,17-03-2002,+49(0)3264449488,Kohlallee 104,Dachau,90737,Germany,DE,3096324
Athanasios,Kambs,25-08-2005,05719 204513,Freudenbergerstraße 9,Wismar,48884,Germany,DE,6605028
Ahmet,Dörr,01-02-1957,+49 (0) 3261 560322,Freudenbergerweg 4,Heiligenstadt,51241,Germany,DE,6833341
Thaddäus,Kabus,14-12-1925,0771617444,Henrike-Pruschke-Allee 4,Witzenhausen,13048,Germany,DE,6829411
Hannchen,Boucsein,28-10-1916,03362 935755,Dörte-Budig-Ring 304,Ravensburg,04706,Germany,DE,4080917
Rüdiger,Sauer,06-09-2019,+49(0)5728103624,Friedl-Hettner-Gasse 2,Recklinghausen,87452,Germany,DE,2685590
Tania,Ruppert,26-05-1953,02595 50315,Paffrathstr. 6,Grevenbroich,39230,Germany,DE,6994838
Käte,Beckmann,15-08-1992,+49(0)3422015851,Fechnerstr. 532,Demmin,49297,Germany,DE,3747300
Valerie,Dietz,08-09-1939,09209834481,Christiane-Haering-Straße 56,Hoyerswerda,65440,Germany,DE,9335817
Ottomar,Lindner,16-02-1941,+49 (0) 8388 030405,Pechelgasse 4/5,Lübben,04149,Germany,DE,6936555
Margita,Drewes,09-02-1968,02400 540195,Dietlind-Buchholz-Platz 4,Oberviechtach,62311,Germany,DE,3859922
Hans-Ulrich,Gutknecht,12-05-2002,03456 18625,Janin-Gotthard-Platz 6,Tecklenburg,02518,Germany,DE,3289573
Linda,Pieper,10-11-1985,(01025) 34970,Stiffelstr. 5,Quedlinburg,78504,Germany,DE,5157414
Hulda,Rohleder,09-10-2016,+49(0)1988 24740,Heiner-Paffrath-Gasse 0,Biedenkopf,49116,Germany,DE,6752553
Diether,Gumprich,07-12-1947,+49(0)5517995642,Jaroslav-Hermighausen-Straße 001,Mayen,75275,Germany,DE,4012098
Hajo,Graf,19-03-1980,0807428384,Schottinplatz 6/2,Ahaus,03901,Germany,DE,8059315
Manja,Bohnbach,11-06-1924,+49(0) 880410063,Röhrdanzweg 711,Leipziger Land,80920,Germany,DE,3553182
Mia,Hering,27-08-1963,02808872308,Ringgasse 3/3,Fulda,87449,Germany,DE,8241170
Jobst,Bender,29-09-1907,(07706) 67834,Mälzergasse 116,Hagenow,14020,Germany,DE,2817317
Anneliese,Kusch,07-07-1946,05387 852306,Schmiedeckestr. 604,Grevesmühlen,70729,Germany,DE,5686231
Cemal,Staude,12-01-2021,+49 (0) 9156 076245,Aleksander-Bärer-Allee 9,Neu-Ulm,25211,Germany,DE,7306805
Bettina,Finke,11-08-1997,+49(0)4454 928465,Bolzmannstraße 750,Emmendingen,09176,Germany,DE,6618120
Wenke,Franke,31-01-1991,0463395637,Jovan-Kroker-Weg 6/0,Teterow,50310,Germany,DE,2434421
Wolfhard,Seidel,06-06-1996,+49 (0) 7276 405405,Kensystr. 6,Hohenstein-Ernstthal,66026,Germany,DE,6339816
Hanspeter,Röhrdanz,05-09-1948,03684 323589,Biengasse 412,Arnstadt,81461,Germany,DE,1287171
Maurice,Bien,13-12-2008,+49(0)0010 622040,Balthasar-Zänker-Allee 534,Regen,20222,Germany,DE,4508343
Ottilie,Hein,06-01-1940,07977140508,Sandra-Kuhl-Gasse 1,Einbeck,51257,Germany,DE,3769322
Friedlinde,Hauffer,20-03-1989,09237 441099,Wirthplatz 988,Wernigerode,68710,Germany,DE,5500736
Ekkehard,Gumprich,14-10-1945,(03817) 48969,Rose-Kambs-Gasse 6/7,Sternberg,59425,Germany,DE,4475321
Wolfgang,Stiebitz,03-08-1975,04840 169399,Birte-Werner-Allee 752,Eggenfelden,34168,Germany,DE,3947850
Nermin,Schulz,03-08-2015,+49(0) 606915834,Tintzmannstr. 9,Freudenstadt,41191,Germany,DE,8238926
Ernst-August,Nohlmans,08-04-1920,00019893473,Betty-Hölzenbecher-Weg 6/5,Tecklenburg,86128,Germany,DE,3777305
Oxana,Keudel,08-08-1910,(04461) 25188,Jakob-Käster-Ring 9/3,Bad Brückenau,48007,Germany,DE,3461655
Reimund,Kade,27-06-1933,(05296) 46319,Heringstr. 8/5,Erfurt,54445,Germany,DE,9365778
Hans-Helmut,Cichorius,23-09-2017,0106588030,Ralf-Dieter-Tlustek-Ring 7,Herford,47628,Germany,DE,5620975
Heinz-Otto,Faust,13-10-1989,(00434) 63864,Walfried-Lindner-Allee 749,Neustrelitz,67452,Germany,DE,9633587
Michelle,Mülichen,02-05-1980,(06629) 953662,Reza-Krein-Weg 3,Neustadtner Waldnaab,79265,Germany,DE,2527009
Bernard,Jockel,20-07-1935,01199170837,Röhrdanzstraße 35,Mellrichstadt,75885,Germany,DE,3040476
Cindy,Jessel,14-04-1961,+49(0)6833494759,Dorota-Sager-Ring 8/4,Wolgast,69307,Germany,DE,2333110
Willy,Fliegner,04-02-1994,08774220066,Lindauring 5,Wunsiedel,89441,Germany,DE,2214188
Jan,Schuster,02-01-1999,02301786248,Stumpfstr. 0,Neunburg vorm Wald,81132,Germany,DE,3370647
Marieluise,Eigenwillig,30-10-1965,+49 (0) 6739 500290,Barkholzgasse 274,Ebersberg,36872,Germany,DE,5415893
Laurenz,Boucsein,20-06-1939,+49 (0) 2100 090139,Diethard-Weinhold-Allee 67,Rosenheim,23659,Germany,DE,1705555
Adolf,Tlustek,15-08-1915,+49 (0) 0625 005995,Jürgen-Christoph-Ring 4/2,Vohenstrauß,06372,Germany,DE,8646665
Klemens,Bähr,13-09-1935,+49(0)3281 390989,Gina-Mühle-Straße 634,Hildburghausen,41174,Germany,DE,3095942
Maria-Luise,Christoph,22-08-1955,09516 742124,Tabea-Scholl-Gasse 9/0,Waldmünchen,80493,Germany,DE,6025536
Reimar,Ditschlerin,16-06-1921,+49(0) 998274323,Hans-Georg-Kreusel-Straße 812,Flöha,53036,Germany,DE,9625247
Branka,Finke,05-06-1965,+49(0)3126 223752,Wulffweg 59,Böblingen,07992,Germany,DE,4275364
Ivanka,Heydrich,06-01-1914,(00581) 72159,Schollweg 0/5,Hünfeld,00429,Germany,DE,8913809
Amanda,Kaul,09-07-1958,+49(0)9255 21476,Wilfried-Drubin-Weg 79,Stade,79256,Germany,DE,6708283
Olaf,Reinhardt,03-07-1981,00616 32654,Schlosserstr. 82,Königs Wusterhausen,52316,Germany,DE,2589091
Hildegard,Römer,08-01-2009,05625 68002,Roskothring 66,Bautzen,42202,Germany,DE,8152775
Helmar,Hofmann,25-06-1967,+49(0)2761967720,Andreas-Weiß-Straße 83,Görlitz,81751,Germany,DE,3652447
Carin,Blümel,13-05-1939,(09733) 653004,Frederike-Hendriks-Straße 72,Torgau,45031,Germany,DE,9371537
Nadin,Trupp,30-05-1969,00342610113,Salvatore-Dehmel-Allee 1/1,Altentreptow,58602,Germany,DE,3347118
Theodor,Roht,04-02-1927,08507 267124,Eckbauerplatz 9,Wolgast,54777,Germany,DE,5845709
Carmen,Spieß,07-10-1961,0414054947,Geislerstraße 64,Merseburg,53022,Germany,DE,4837136
Ehrhard,Junk,26-01-1968,+49(0)3914 11383,Kuschstr. 7,Bitterfeld,34608,Germany,DE,8568597
Kristina,Bonbach,18-08-1985,02617 52163,Edelbert-Röhrdanz-Gasse 8/7,Berlin,92954,Germany,DE,4353765
Jörg,Heintze,14-02-1995,07099 92609,Hans-Heinrich-Eberth-Weg 4,Hildesheim,57922,Germany,DE,4645360
Raik,Steckel,09-02-1993,(00155) 90226,Wiekstr. 097,Stadtroda,85873,Germany,DE,2482167
Henri,Ullrich,14-07-1947,+49(0)6083582335,Martinweg 230,Eisenberg,52858,Germany,DE,1623919
Manuela,Karz,30-05-1953,(04875) 552205,Anatoli-Pärtzelt-Straße 0/9,Bautzen,79906,Germany,DE,4985315
Alicja,Reinhardt,14-03-2012,+49(0)1055270736,Heinstraße 3/7,Eisenhüttenstadt,81188,Germany,DE,4979317
Gretel,Lindau,11-06-1907,+49(0) 801480209,Benderweg 127,Saarbrücken,67491,Germany,DE,9045674
Walther,Schweitzer,21-10-2001,+49(0)5696 019079,Wesackallee 759,Lübz,59364,Germany,DE,9552905
Jacqueline,Girschner,24-07-1928,+49(0)0990 641218,Weinhagestraße 89,Sonneberg,93092,Germany,DE,1499689
Ferdinand,Etzold,14-03-1951,+49 (0) 4926 684500,Jiri-Faust-Gasse 4/3,Düren,28976,Germany,DE,8542062
Marten,Hethur,25-03-1978,+49(0)2023 31574,Schachtstr. 9,Kamenz,22232,Germany,DE,5199976
Theodora,Klemt,15-02-1956,+49(0)4125218746,Salzplatz 40,Siegen,83967,Germany,DE,5032358
Dörte,Wulff,17-04-2012,+49(0) 895978418,Hans Georg-Eigenwillig-Platz 3/7,Celle,79940,Germany,DE,8521633
Jaroslav,Stey,09-05-2022,09140 105000,Galina-Graf-Weg 20,Einbeck,13033,Germany,DE,6460823
Karl-Ludwig,Tschentscher,05-03-1938,+49(0)2655437770,Röhrichtallee 3,Hohenstein-Ernstthal,80874,Germany,DE,6850040
Arnold,Misicher,07-05-1998,02358 95090,Kaulring 52,Rathenow,39836,Germany,DE,6929493
Gaetano,Hamann,06-09-1943,0925145712,Catharina-Buchholz-Allee 6/0,Stadtsteinach,54234,Germany,DE,9344904
Sabri,Oderwald,11-07-1934,02611 726331,Conradistr. 4,Kleve,32314,Germany,DE,9382240
Leif,Wagenknecht,09-01-1943,+49 (0) 4426 004711,Sara-Schlosser-Ring 8,Recklinghausen,29070,Germany,DE,5226679
Sandro,Weinhold,26-03-1907,03982 123262,Ferenc-Flantz-Platz 0/9,Steinfurt,85983,Germany,DE,6420048
Steven,Wilmsen,13-07-2008,0637419708,Kaulring 018,Gelnhausen,49859,Germany,DE,9975541
Etta,Koch II,05-01-1981,07125700289,Säuberlichstr. 434,Plauen,09832,Germany,DE,4024841
Ahmed,Siering,26-10-1970,+49(0)7124283294,Mona-Krebs-Weg 777,Wesel,99231,Germany,DE,3735656
Meike,Barkholz,03-08-1989,(07569) 59108,Wiekplatz 3,Magdeburg,21756,Germany,DE,2570259
Gerhard,Mangold,13-12-2002,02511 613795,Bolnbachallee 89,Sankt Goar,11931,Germany,DE,5259542
Bertram,Gutknecht,09-02-1997,03822524750,Steinberggasse 7,Göppingen,19449,Germany,DE,2088720
Emma,Schmiedt,22-06-1980,+49(0) 174919945,Gretl-Schleich-Straße 89,Mühlhausen,74177,Germany,DE,2148060
Heinfried,Kambs,11-07-1968,02725139250,Hans-Hermann-Wesack-Allee 7,Osterburg,23898,Germany,DE,2236016
Heinz-Walter,Eigenwillig,20-04-1968,06521294235,Angelique-Schmiedt-Gasse 4,Rudolstadt,39142,Germany,DE,9774539
Bernadette,Mühle,28-09-1926,+49(0)1213 276993,Lehmannplatz 8,Pegnitz,18038,Germany,DE,6120916
Leonie,Mosemann,30-06-1936,00708 96132,Bohnbachstraße 15,Herford,63456,Germany,DE,4091202
Herlinde,Rogge,21-12-1980,(03532) 97605,Schmidtplatz 9/2,Meppen,12682,Germany,DE,3026866
Kornelia,Niemeier,16-04-2003,03672 151814,Arif-Hertrampf-Straße 0,Leipziger Land,68555,Germany,DE,9406067
Sandra,Stadelmann,21-04-1948,0794345779,Patric-Wagner-Straße 9,Böblingen,04046,Germany,DE,1422829
Mariusz,Hering,01-02-2014,+49(0)7639 36525,Hajo-Niemeier-Weg 6/9,Dinkelsbühl,60407,Germany,DE,7112639
Ian,Heidrich,09-09-1919,+49(0) 594856658,Pärtzeltgasse 3,Dieburg,31496,Germany,DE,2951887
Susanne,Kranz,02-04-1927,+49(0)9803 36552,Michael-Weller-Gasse 1/1,Luckau,37376,Germany,DE,7777423
Katalin,Striebitz,22-03-1938,+49(0)1262 66898,Heintzeallee 77,Backnang,59985,Germany,DE,7611597
Bela,Ullmann,30-06-1980,+49(0)6749 540914,Phillip-Rädel-Ring 989,Zerbst,00436,Germany,DE,5390702
Hansgeorg,Söding,12-10-1990,+49(0) 808714984,Scheelstr. 76,Jena,78127,Germany,DE,2920406
Walter,Henschel,14-10-2019,+49(0)2105 835630,Kati-Eigenwillig-Allee 9,Hannover,32013,Germany,DE,6630525
Adina,Drubin,21-01-1946,00923 12837,Rustweg 2,Iserlohn,59556,Germany,DE,3295406
Walentina,Henk,02-06-1971,+49(0)1779 882369,Kläre-Fritsch-Platz 594,Vohenstrauß,21018,Germany,DE,5630069
Klothilde,Schwital,02-10-2017,00360323017,Bertram-Staude-Allee 2/0,Marktheidenfeld,96031,Germany,DE,4747961
Milica,Ditschlerin,09-09-1995,0044165408,Döringring 145,Fallingbostel,63548,Germany,DE,1876998
Volker,Stolze,26-08-1907,02922 213318,Günther-Jacob-Weg 2/6,Lüdinghausen,81701,Germany,DE,1340499
Christof,Hofmann,21-01-2022,+49(0)5662415433,Kallertallee 505,Rathenow,90647,Germany,DE,3523816
Sükrü,Schäfer,15-07-1982,(00147) 546456,Pawel-Vogt-Allee 0,Wunsiedel,52186,Germany,DE,9988377
Agnieszka,Spieß,02-05-2012,+49(0)1019 07768,Slobodan-Dörr-Ring 07,Warendorf,27340,Germany,DE,2974668
Kristina,Gotthard,06-02-1964,01370 84000,Eberthplatz 370,Sebnitz,59037,Germany,DE,9817107
Ulrich,Faust,29-10-1923,+49 (0) 2264 803476,Biggenplatz 541,Olpe,48012,Germany,DE,4957470
Heinz-Josef,Rudolph,09-04-1911,+49(0)0753 72550,Adlerstraße 692,Böblingen,35407,Germany,DE,7410431
José,Flantz,17-05-1981,(07804) 51713,Magda-Heser-Gasse 135,Jülich,84818,Germany,DE,2102252
Bogdan,Bolnbach,27-12-1923,+49(0)7514379715,Blochallee 2/7,Erding,05885,Germany,DE,8607414
Ruth,Pölitz,12-09-1961,+49(0) 811198627,Nelli-Bolnbach-Gasse 24,Mellrichstadt,86352,Germany,DE,5332727
Lilo,Jacobi Jäckel,05-12-1921,(09416) 105899,Kühnertring 14,Schwandorf,87903,Germany,DE,9093153
Cathleen,Mälzer,14-10-1959,(02875) 84178,Ackermannweg 700,Wolmirstedt,70810,Germany,DE,3900244
Frank,Stahr,15-09-2022,(04450) 326100,Sergio-Dippel-Straße 5/4,Sigmaringen,31070,Germany,DE,6265217
Wladimir,Kensy,23-11-1972,0715872060,Winklerallee 4/5,Kamenz,00372,Germany,DE,5667998
Pia,Kostolzin,24-03-1958,+49(0)3399 318461,Hartmuth-Hentschel-Weg 417,Schweinfurt,89630,Germany,DE,8410727
Herlinde,Margraf,11-12-1923,+49(0)7644702219,Ladeckgasse 6,Brand,45411,Germany,DE,1499614
Francis,Margraf,23-01-1922,+49(0)3970 004574,Rafael-Lindau-Allee 3,Gießen,19710,Germany,DE,8980834
